timestamp,value
2020-01-01,350.0248357076506
2020-01-02,352.6468666580551
2020-01-03,354.07360668202665
2020-01-04,353.8607714939803
2020-01-05,352.60797310780265
2020-01-06,351.7736913656333
2020-01-07,352.1218628387909
2020-01-08,353.1025906901404
2020-01-09,353.62940819932203
2020-01-10,352.6585489894945
2020-01-11,349.7048506314389
2020-01-12,345.7713942888603
2020-01-13,342.20409481213943
2020-01-14,339.70703945358906
2020-01-15,338.32887101655194
2020-01-16,336.910548588474
2020-01-17,334.2360973601693
2020-01-18,330.2751134141069
2020-01-19,325.7129787950641
2020-01-20,322.09908073579567
2020-01-21,320.44936543566564
2020-01-22,320.12914602202414
2020-01-23,320.3258204214877
2020-01-24,319.69239946137026
2020-01-25,318.14598317905734
2020-01-26,316.352524613406
2020-01-27,315.49714624199135
2020-01-28,316.57626941305654
2020-01-29,318.96660163474604
2020-01-30,321.6009613692688
2020-01-31,323.1197704937521
2020-02-01,323.3104982956382
2020-02-02,322.54292409128595
2020-02-03,322.2941111521133
2020-02-04,323.40491253544303
2020-02-05,325.1742118553458
2020-02-06,326.7406713076378
2020-02-07,326.5360912718524
2020-02-08,324.57057712947295
2020-02-09,321.5636407465099
2020-02-10,318.74732154248056
2020-02-11,316.9673537038974
2020-02-12,316.05607010880533
2020-02-13,314.8949742109146
2020-02-14,312.3310466330229
2020-02-15,308.3067752678154
2020-02-16,303.6060836750393
2020-02-17,299.7146338561893
2020-02-18,297.35966542661765
2020-02-19,296.3713997374579
2020-02-20,295.9196131255614
2020-02-21,294.5310365473913
2020-02-22,292.11270242453713
2020-02-23,289.55659738252416
2020-02-24,288.0471289888097
2020-02-25,288.3976470031754
2020-02-26,290.2225908690649
2020-02-27,292.48934982321873
2020-02-28,293.8430525651758
2020-02-29,293.90842782641363
2020-03-01,293.30827380987256
2020-03-02,293.45097813498074
2020-03-03,294.91238671712165
2020-03-04,297.41704219172067
2020-03-05,299.77173751082967
2020-03-06,300.5529218636365
2020-03-07,299.39073213510767
2020-03-08,297.28662812034224
2020-03-09,295.3174449305715
2020-03-10,294.36564621028526
2020-03-11,294.2783238181198
2020-03-12,293.82301304803326
2020-03-13,291.72991704533285
2020-03-14,288.07236609178386
2020-03-15,283.29636217473796
2020-03-16,279.46623930085514
2020-03-17,276.8975724802983
2020-03-18,275.61668320171873
2020-03-19,274.55439848083813
2020-03-20,272.4500291238597
2020-03-21,269.3965298459989
2020-03-22,266.0105229873889
2020-03-23,263.7228199241907
2020-03-24,263.18420457046756
2020-03-25,264.3450101569038
2020-03-26,265.9533210749124
2020-03-27,266.8201776754748
2020-03-28,266.4453525107934
2020-03-29,265.66237808081854
2020-03-30,265.80769063911447
2020-03-31,267.44119091253134
2020-04-01,270.31854915770424
2020-04-02,272.97992674100016
2020-04-03,274.3903252399585
2020-04-04,274.05561032535246
2020-04-05,272.6943108122027
2020-04-06,271.7515153524411
2020-04-07,271.77360875235564
